Sample Index,TCGA ID,Sample Type,Total Deregulations,Brownian Deregulations,Cluster,CFAP65,CDKN1C,AC245100.2,AC008764.8,LRATD2,AL137186.2,TRIM2,AL022332.1,MADCAM1,U3,AC012213.3,(ENSG00000264976),OAT,AC007000.2,DNPH1
0,TCGA-XK-AAJP-01A,Tumor,8459,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1
1,TCGA-V1-A8WL-01A,Tumor,5958,4,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0
2,TCGA-J9-A52B-01A,Tumor,7596,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
3,TCGA-HC-7742-11A,Normal,2658,161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,TCGA-HC-7745-01A,Tumor,5560,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,TCGA-G9-6363-01A,Tumor,8142,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
6,TCGA-XJ-A9DK-01A,Tumor,5316,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,TCGA-KK-A7B3-01A,Tumor,8041,3,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
8,TCGA-EJ-A46H-01A,Tumor,6522,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,TCGA-VN-A88K-01A,Tumor,7546,5,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
10,TCGA-EJ-8469-01A,Tumor,9062,2,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
11,TCGA-G9-6384-11A,Normal,3155,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,TCGA-FC-A5OB-01A,Tumor,9506,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0
13,TCGA-EJ-7788-01A,Tumor,5768,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
14,TCGA-V1-A9ZI-01A,Tumor,8641,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
15,TCGA-HC-7740-01A,Tumor,2368,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,TCGA-EJ-7794-11A,Normal,3666,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,TCGA-G9-6362-11A,Normal,7962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,TCGA-J4-A83I-01A,Tumor,8514,2,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0
19,TCGA-KK-A7AP-01A,Tumor,11302,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1
20,TCGA-KK-A6E4-01A,Tumor,10237,364,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
21,TCGA-EJ-AB27-01A,Tumor,3409,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,TCGA-QU-A6IL-01A,Tumor,13625,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
23,TCGA-KK-A8I6-01A,Tumor,6843,4,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1
24,TCGA-2A-A8VV-01A,Tumor,6466,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
25,TCGA-VN-A88I-01A,Tumor,5766,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
26,TCGA-HC-7745-11A,Normal,5196,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,TCGA-2A-A8VX-01A,Tumor,9780,2,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1
28,TCGA-EJ-A8FN-01A,Tumor,5559,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
29,TCGA-HC-8260-01A,Tumor,5823,2,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
30,TCGA-G9-6379-01A,Tumor,11010,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1
31,TCGA-G9-6347-01A,Tumor,11577,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1
32,TCGA-CH-5766-01A,Tumor,6401,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
33,TCGA-CH-5748-01A,Tumor,6555,4,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
34,TCGA-XK-AAJU-01A,Tumor,4312,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,TCGA-YL-A9WX-01A,Tumor,5881,598,2,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
36,TCGA-YL-A8HJ-01A,Tumor,5317,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
37,TCGA-HC-7740-11A,Normal,5901,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TCGA-KK-A5A1-01A,Tumor,8385,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1
39,TCGA-V1-A8WS-01A,Tumor,7639,4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
40,TCGA-HC-A632-01A,Tumor,8183,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0
41,TCGA-HC-8266-01A,Tumor,5803,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
42,TCGA-HC-7233-01A,Tumor,4876,440,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
43,TCGA-V1-A9OQ-01A,Tumor,7196,3,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1
44,TCGA-J4-A83J-01A,Tumor,7620,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0
45,TCGA-HC-7211-01A,Tumor,6188,2,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
46,TCGA-ZG-A9LM-01A,Tumor,7355,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
47,TCGA-CH-5750-01A,Tumor,7993,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
48,TCGA-VP-A87H-01A,Tumor,7948,2,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
49,TCGA-KK-A7B2-01A,Tumor,6226,5,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
50,TCGA-YL-A9WI-01A,Tumor,9970,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
51,TCGA-EJ-A65M-01A,Tumor,7843,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
52,TCGA-VN-A88M-01A,Tumor,9202,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1
53,TCGA-EJ-A65D-01A,Tumor,12233,3,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
54,TCGA-J9-A8CK-01A,Tumor,5173,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
55,TCGA-EJ-5503-01A,Tumor,2410,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,TCGA-M7-A720-01A,Tumor,3299,424,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,TCGA-XK-AAJT-01A,Tumor,4931,3,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
58,TCGA-KK-A6E8-01A,Tumor,9662,311,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
59,TCGA-HI-7169-01A,Tumor,10050,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
60,TCGA-V1-A9OF-01A,Tumor,8287,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1
61,TCGA-HC-A6AQ-01A,Tumor,8544,4,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
62,TCGA-YL-A9WH-01A,Tumor,8988,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1
